trade_number,balance_usd,equity_index,cumulative_pnl_pct
1,1016.2841,101.62841,1.6284099999999968
2,1031.432,103.14320000000001,3.1432000000000015
3,1047.5809,104.75809000000001,4.758089999999992
4,1068.6016,106.86016000000001,6.860159999999996
5,1089.6299,108.96298999999998,8.96298999999999
6,1103.8623,110.38623000000001,10.386230000000001
7,1119.1712,111.91712,11.91712
8,1096.7878,109.67878,9.678780000000007
9,1112.5983,111.25983000000002,11.259830000000012
10,1134.8139,113.48139000000002,13.48139000000001
11,1112.1176,111.21176,11.211760000000004
12,1124.4627,112.44627,12.446270000000004
13,1140.2487,114.02487,14.024870000000009
14,1117.4437,111.74436999999999,11.744370000000004
15,1095.0948,109.50948,9.509480000000007
16,1114.3572,111.43571999999999,11.435719999999993
17,1127.4988,112.74988000000002,12.749880000000008
18,1143.0956,114.30956,14.30956000000001
19,1120.2337,112.02337,12.02337
20,1097.829,109.7829,9.782899999999996
21,1115.1547,111.51547,11.515470000000006
22,1130.3673,113.03672999999999,13.036729999999988
23,1107.7599,110.77599000000001,10.775990000000002
24,1126.4872,112.64872000000001,12.648720000000003
25,1103.9575,110.39574999999999,10.395749999999998
26,1081.8783,108.18783,8.187830000000009
27,1105.0191,110.50191000000001,10.501909999999997
28,1082.9187,108.29187,8.291869999999994
29,1106.7094,110.67094,10.670939999999995
30,1128.773,112.87729999999998,12.877299999999991
31,1150.8155,115.08155,15.081549999999993
32,1127.7992,112.77991999999999,12.779919999999992
33,1105.2432,110.52431999999999,10.524319999999989
34,1121.6226,112.16226,12.162259999999991
35,1137.5997,113.75997,13.75997
36,1152.366,115.2366,15.236599999999997
37,1174.1859,117.41859,17.418589999999995
38,1202.4062,120.24061999999999,20.24061999999999
39,1216.4378,121.64378,21.643779999999992
40,1192.109,119.21089999999998,19.21089999999999
41,1168.2668,116.82668000000001,16.82668000000001
42,1144.9015,114.49015,14.490149999999993
43,1167.9419,116.79419,16.794190000000004
44,1144.583,114.45830000000001,14.458300000000007
45,1121.6914,112.16914,12.169139999999993
46,1134.7442,113.47442000000001,13.47442000000001
47,1155.2388,115.52388,15.523880000000009
48,1168.2906,116.82906,16.829060000000005
49,1144.9248,114.49248,14.492479999999999
50,1164.8133,116.48133,16.481330000000003
51,1179.0739,117.90739,17.90739000000001
52,1200.8886,120.08886000000001,20.08886
53,1176.8708,117.68708,17.68707999999999
54,1191.4439,119.14438999999999,19.144389999999998
55,1210.5875,121.05875000000002,21.05875000000001
56,1225.4972,122.54972,22.54972
57,1200.9872,120.09871999999999,20.098720000000004
58,1221.7055,122.17055,22.170550000000002
59,1197.2714,119.72713999999999,19.72714000000001
60,1173.326,117.33260000000001,17.332600000000003
61,1191.1093,119.11093000000001,19.110930000000007
62,1167.2872,116.72872000000001,16.72872
63,1143.9414,114.39414,14.394139999999995
64,1165.7292,116.57292,16.57292
65,1188.4425,118.84425,18.84425000000001
66,1164.6736,116.46736,16.46736000000001
67,1191.2838,119.12837999999999,19.128379999999993
68,1206.6171,120.66170999999999,20.661709999999996
69,1219.9113,121.99113,21.99113
70,1238.0984,123.80984000000001,23.80984000000001
71,1260.1803,126.01803000000001,26.018029999999996
72,1287.169,128.7169,28.716900000000013
73,1261.4256,126.14255999999999,26.142560000000003
74,1236.1971,123.61971,23.619710000000012
75,1253.0455,125.30455,25.304549999999992
76,1272.5493,127.25492999999999,27.254929999999987
77,1290.5875,129.05875,29.05875000000001
78,1264.7757,126.47757,26.47756999999999
79,1239.4802,123.94802,23.948019999999996
80,1214.6906,121.46906,21.46905999999999
81,1190.3968,119.03968,19.039679999999997
82,1204.0646,120.40646,20.406459999999992
83,1218.8229,121.88229,21.88228999999999
84,1194.4464,119.44464,19.444640000000003
85,1170.5575,117.05574999999999,17.05574999999999
86,1147.1463,114.71463000000001,14.714630000000012
87,1124.2034,112.42034000000001,12.42034000000001
88,1145.0756,114.50756,14.50755999999999
89,1163.3146,116.33145999999999,16.331459999999993
90,1140.0483,114.00482999999998,14.004829999999993
91,1156.3381,115.63381,15.633809999999995
92,1133.2114,113.32114,13.321139999999993
93,1158.8674,115.88674,15.886740000000007
94,1135.6901,113.56900999999999,13.569010000000004
95,1112.9763,111.29763000000001,11.297630000000005
96,1090.7168,109.07167999999999,9.071679999999992
97,1113.5863,111.35862999999999,11.358629999999993
98,1091.3146,109.13146,9.131459999999993
99,1109.7214,110.97214,10.97213999999999
100,1087.5269,108.75269,8.752690000000008
101,1104.0416,110.40415999999999,10.404160000000001
102,1116.0602,111.60602,11.606019999999988
103,1130.2553,113.02553,13.025530000000005
104,1142.6736,114.26736000000002,14.267360000000007
105,1119.8201,111.98200999999999,11.982009999999992
106,1097.4237,109.74237,9.742370000000006
107,1116.4638,111.64638,11.646379999999999
108,1135.4831,113.54830999999999,13.548309999999992
109,1150.3843,115.03843,15.038429999999995
110,1165.6048,116.56048000000001,16.56048000000001
111,1185.107,118.51069999999999,18.510699999999996
112,1198.1379,119.81378999999998,19.813789999999994
113,1227.1145,122.71144999999999,22.711449999999992
114,1250.0525,125.00525,25.00525
115,1266.0516,126.60516,26.60516
116,1240.7306,124.07306,24.07306000000001
117,1255.6742,125.56741999999998,25.56741999999999
118,1269.6134,126.96133999999999,26.961339999999996
119,1244.2211,124.42211,24.422109999999996
120,1219.3367,121.93367000000002,21.933670000000006
